City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
518,harper,4.375,-7.7169,303.72,68,60,2.66,LR,1709467292
519,sept-iles,50.2001,-66.3821,269.15,99,75,1.54,CA,1709467178
520,nguigmi,14.2495,13.1092,308.69,13,64,5.49,NE,1709467293
521,ocean city,39.2776,-74.5746,281.25,92,1,1.34,US,1709467058
522,timimoun,29.2639,0.231,295.36,14,0,4.63,DZ,1709467294
523,thames,-37.1333,175.5333,292.58,94,100,2.34,NZ,1709467294
524,dryden,49.7833,-92.7503,268.31,93,100,8.75,CA,1709467167
525,fallon,39.4735,-118.7774,272.08,88,100,0.0,US,1709467236
526,shchuchyn,53.6014,24.7465,278.81,57,5,6.33,BY,1709467296
527,castellaneta,40.6272,16.9369,288.94,75,20,9.77,IT,1709467297
528,kudahuvadhoo,2.6708,72.8944,301.57,76,12,3.74,MV,1709467297
529,pinarbasi,38.7229,36.3931,280.86,52,62,3.09,TR,1709467298
530,klaksvik,62.2266,-6.589,281.66,88,89,12.49,FO,1709467298
531,alice springs,-23.7,133.8833,299.38,65,79,3.6,AU,1709467290
532,axim,4.8699,-2.2405,303.91,66,98,3.26,GH,1709467300
533,necochea,-38.5473,-58.7368,289.6,44,0,5.89,AR,1709467301
534,forster,-32.1667,152.5167,293.87,97,3,3.89,AU,1709467301
535,zouerate,22.7187,-12.4521,293.25,31,1,8.52,MR,1709467302
536,santa isabel,-23.3156,-46.2214,295.99,81,93,1.49,BR,1709467302
537,mahina,-17.5065,-149.489,300.02,78,40,1.03,PF,1709467303
538,talca,-35.4333,-71.6667,285.93,52,0,2.29,CL,1709467065
539,new plymouth,-39.0667,174.0833,291.38,93,40,5.33,NZ,1709467304
540,igarka,67.4667,86.5833,264.01,93,100,8.43,RU,1709467305
541,puerto san jose,13.9256,-90.8244,297.18,79,16,2.27,GT,1709467306
542,viedma,-40.8135,-62.9967,289.91,36,0,7.28,AR,1709467269
543,kavieng,-2.5744,150.7967,301.47,79,99,4.21,PG,1709467307
544,aswan,24.0934,32.907,299.76,12,0,5.66,EG,1709467307
545,ad dilam,23.9915,47.1627,300.38,11,8,6.95,SA,1709467308
546,khunti,23.0833,85.2833,294.21,39,75,3.7,IN,1709467308
547,fougamou,-1.2154,10.5838,305.46,60,97,2.17,GA,1709467309
548,flin flon,54.7682,-101.865,253.83,88,100,4.74,CA,1709467309
549,kedrovyy,56.1667,91.8167,261.41,97,99,1.37,RU,1709467310
550,heihe,50.2441,127.4902,261.47,92,91,2.21,CN,1709467311
551,srivardhan,18.0333,73.0167,298.65,68,20,7.67,IN,1709467311
552,priargunsk,50.3691,119.1012,249.39,100,50,0.94,RU,1709467312
553,kasempa,-13.4584,25.8338,299.79,58,92,0.83,ZM,1709467292
554,wajir,1.7471,40.0573,309.13,30,40,3.09,KE,1709467313
555,zahedan,29.4963,60.8629,285.1,22,0,3.09,IR,1709467313
556,suksun,57.1431,57.3949,272.18,91,100,4.72,RU,1709467314
557,nouadhibou,20.931,-17.0347,295.14,35,32,11.83,MR,1709467315
558,arraial do cabo,-22.9661,-42.0278,299.07,73,0,2.57,BR,1709467244
559,shenkursk,62.1091,42.896,273.78,89,100,3.62,RU,1709467316
560,grenville,12.1167,-61.6167,297.18,77,22,6.17,GD,1709467317
